id_objet,id_domaine
M0537001111,
M0537001117,
M0537001135,
M0537001261,
M0537000391,
M0537000398,
M0537036358,
M0537007796,
5002E010182,
M0537000206,
M0537000598,
M0537000600,
M0537000619,
M0537000650,
M0537000483,
M0537000499,
M0537000501,
M0537000521,
M0537000576,
M0537000581,
M0537000482,
M0537000502,
M0537000506,
M0121002554,
M0537000500,
M0121006435,
M0537005568,
M0537008129,
M0537040336,
M0537000181,
M0537000224,
M0537007973,
M0537008131,
M0537017568,
M0537039905,
5002E001858,
5002E001909,
5002E001062,
5002E001088,
5002E001111,
5002E001233,
5002E001479,
5002E001524,
5002E001600,
5002E002824,
5002E002868,
5002E002890,
5002E002894,
5002E002915,
5002E002916,
5002E002928,
5002E002939,
5002E002970,
5002E002974,
5002E003018,
5002E003056,
5002E003072,
5002E003095,
5002E002203,
5002E002204,
5002E002214,
5002E002220,
5002E002224,
5002E002227,
5002E002239,
5002E002240,
5002E002241,
5002E002266,
5002E002271,
5002E002276,
5002E002763,
5002E001316,
5002E001319,
5002E001443,
5002E001498,
5002E001603,
5002E001605,
5002E001639,
5002E001050,
5002E002640,
5002E002642,
5002E002658,
5002E002672,
5002E002676,
5002E002682,
5002E002694,
5002E002282,
5002E002283,
5002E002291,
5002E002294,
5002E002304,
5002E002308,
5002E002316,
5002E002317,
5002E002321,
5002E002652,
5002E002668,
5002E002677,
5002E002695,
5002E002292,
5002E002295,
5002E002309,
5002E002312,
5002E002199,
5002E002201,
5002E002205,
5002E002209,
5002E002215,
5002E002219,
5002E002222,
5002E002226,
5002E002236,
5002E002238,
5002E002242,
5002E002245,
5002E002250,
